TweetID,Label
1566731807495753730,neg
1567139232983949312,neu
1566530836253626374,neu
1565697572034994176,neu
1565629935783477250,neu
1565211382194311168,neu
1564768703866146816,neu
1564440220128485382,neu
1563757587539034112,pos
1582999940506058753,pos
1563155596689301510,pos
1564108099757248513,neu
1563064639638089729,pos
1562704056522784770,pos
1562525704293457926,neu
1562405261440163840,pos
1562065766740115456,neu
1562064365095858176,neu
1560939754681782275,neu
1560895937849040898,neu
1560846242099470338,neu
1583608831166533633,neu
1560548222661279744,neu
1560546190235783169,neu
1560545660705075201,neu
1560544046988333056,neu
1560542000239329280,neg
1560529486013251584,pos
1560523707121950720,neg
1560520966656098305,neu
1560510276398731264,neu
1560509251898036226,pos
1560509245015072768,pos
1560492371279765504,neg
1583606966756442112,neu
1560220722244554754,neu
1580552147191869442,neu
1581476123342704640,neu
1583608283071672320,neu
1559822612066439168,neu
1559635411068227586,neu
1559633045547786241,neg
1559363021931257856,neu
1559271717482205184,neu
1559251309848559618,pos
1559225470683680768,neu
1559210337798430722,neu
1559206734056529922,neu
1559163095536340994,neu
1559156465809637381,neg
1579865111602135040,neu
1565262481223819264,neu
1558114773560180740,pos
1558005195723907073,neu
1557684167449657350,neg
1557600757054046210,neu
1557446325410701312,neg
1572091803335294978,pos
1556746674609033216,pos
1556662432164192263,neu
1556660001200119809,neu
1555987080957804545,pos
1555625306773458944,neu
1555410311284416512,neu
1555298500711170050,neg
1555230375022051331,neu
1554928089267945473,neu
1554738944713031680,pos
1554697653728026624,neg
1554417623886094336,neg
1554325573853495296,neu
1554193804470718465,neu
1553817957851095040,neu
1553782144610205696,neg
1553771355589443584,neg
1553691473509482497,neu
1568939865466720256,neu
1553652911720251392,pos
1553396993355141120,neu
1552991886641709056,neu
1552929053799235585,neu
1552924619052556291,neu
1583229810301898752,neu
1552885375479193602,neu
1552711232989298690,neg
1552548883267571712,neu
1552396948010934273,neg
1552382019094577157,neu
1583605912979525632,neg
1552141950454841350,neu
1552011515326259203,neu
1551992382765277184,neu
1551988551369347073,neu
1551919619388186631,neu
1551860600829083648,neu
1551855766310641664,neu
1551809729575505920,neg
1551759019546755072,neu
1583605912979525632,neg
1551651154580439045,neg
1551649213360099328,neg
1551633181945864194,neg
1551607173838524418,neg
1551590575698231299,neg
1551586725968990209,neg
1583207424416104448,neg
1563654942497247233,neu
1551301872295809025,neu
1551300980179869696,neg
1551300533809561600,neg
1551300427823685632,neg
1583608028452249601,neu
1583602932540354560,neu
1551171288743419905,neg
1551162758820937734,neg
1551158971616174081,neu
1551134145866334208,neg
1551096246466760706,neg
1551095010925449217,neg
1551080659455774720,neu
1550989912320753665,neg
1550965822738382850,neu
1550958335800877058,neu
1550949785779191815,pos
1550934185459736580,neu
1550923508984725508,neu
1550922322785222657,neu
1550910021063659525,neu
1583608831166533633,neg
1550887186714791936,neu
1550864349123723264,neu
1583587908295921664,neg
1583599220899999744,neu
1550103448846274563,neu
1554138051953164291,neu
1549680673602109441,neu
1549637003670593536,neg
1549440175788417026,neu
1549139412096897024,neg
1549101380584996866,neu
1549073384352407552,pos
1548320951716028416,neg
1548241093845663744,neu
1548237308192690177,neg
1548234411845439489,neu
1548227151794618368,neg
1548033127334830081,neg
1547855866551885829,neg
1547813457801531392,neg
1547686503802777603,neu
1547679396336582659,neu
1547398549712904192,neg
1547283498100314112,neu
1546917695572131842,neg
1546796878435688449,neu
1546761845679296513,neg
1546759750171377667,neu
1546564939288137733,neu
1546242051141926914,neu
1546224690880040963,neg
1546080441085706240,neu
1546002700025954304,neu
1545697463188717569,neu
1544706204076761088,pos
1544705945325928448,pos
1544699478778732544,pos
1544698035107659776,pos
1544462704928342017,pos
1573437781069922305,neu
1564368262686773248,neu
1544248933874106368,neg
1544241405031317504,neu
1544170807357759489,neg
1544049093084839939,neu
1543846219365105664,pos
1543815536076808192,neu
1543715519295102978,neg
1583607504558096385,neg
1583607504558096385,neg
1543127609759907840,neg
1543110590692052992,neg
1542967206778228736,neg
1542953351259865088,neg
1542919053228007425,neu
1542853846350929922,neu
1542733156121513985,pos
1583606966756442112,neg
1542581659840782341,neg
1542568414543233025,neg
1542526061048504323,neg
1559702900523184128,neg
1542393916544237570,neg
1542200872326860803,neg
1542199634759655425,neg
1542149991287881729,neu
1580059897932021762,neu
1542139664689143808,neu
1583605912979525632,neg
1562438652923219968,neg
1542093618214830086,pos
1542042817064845313,neg
1542035401669545986,neu
1542018016375881732,neu
1542014457169289216,neu
1541993950298492933,neg
1541980720557588480,neu
